Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
10-Feb-22,20MICRONS,88.7,85.5,0.0367,0.033,0.033,0.6305
10-Feb-22,21STCENMGM,38.35,38.9,-0.0142,0.0203,0.0202,0.3859
10-Feb-22,3IINFOLTD,70.15,73.8,-0.0507,0.0231,0.0233,0.4451
10-Feb-22,3MINDIA,23771.25,24084.2,-0.0131,0.0185,0.0185,0.3534
10-Feb-22,3PLAND,18.6,18.75,-0.008,0.0508,0.0506,0.9667
10-Feb-22,500009,37.85,36.75,0.0295,0.0366,0.0366,0.6992
10-Feb-22,500012,113.2,113.95,-0.0066,0.0333,0.0332,0.6343
10-Feb-22,500014,7.41,7.8,-0.0513,0.0459,0.0459,0.8769
10-Feb-22,500016,10.27,10.38,-0.0107,0.046,0.0459,0.8769
10-Feb-22,500028,15,15.75,-0.0488,0.0331,0.0332,0.6343
10-Feb-22,500058,11.84,12.22,-0.0316,0.0324,0.0323,0.6171
10-Feb-22,500068,6323.75,6370.4,-0.0073,0.0232,0.0232,0.4432
10-Feb-22,500069,280.35,284.8,-0.0157,0.0314,0.0314,0.5999
10-Feb-22,500120,282.35,287.2,-0.017,0.0315,0.0314,0.5999
10-Feb-22,500123,3650,3655.75,-0.0016,0.0248,0.0247,0.4719
10-Feb-22,500142,14.33,13.65,0.0486,0.0233,0.0235,0.449
10-Feb-22,500143,130.2,137.05,-0.0513,0.0365,0.0366,0.6992
10-Feb-22,500147,1610.25,1625.55,-0.0095,0.0355,0.0354,0.6763
10-Feb-22,500159,91.25,92.95,-0.0185,0.036,0.0359,0.6859
10-Feb-22,500166,223.7,217.65,0.0274,0.0265,0.0265,0.5063
10-Feb-22,500170,46.7,44.5,0.0483,0.0391,0.0391,0.747
10-Feb-22,500192,3.43,3.61,-0.0511,0.0338,0.0339,0.6477
10-Feb-22,500202,13.29,12.66,0.0486,0.0339,0.034,0.6496
10-Feb-22,500206,31.9,30.4,0.0482,0.0376,0.0377,0.7203
10-Feb-22,500211,9.54,10.09,-0.0561,0.0392,0.0393,0.7508
10-Feb-22,500213,117.95,120.05,-0.0176,0.0352,0.0352,0.6725
10-Feb-22,500214,1929.35,1940.25,-0.0056,0.0273,0.0273,0.5216
10-Feb-22,500220,178.7,177.8,0.005,0.0355,0.0354,0.6763
10-Feb-22,500223,5.34,5.44,-0.0186,0.0399,0.0398,0.7604
10-Feb-22,500236,4.21,4.25,-0.0095,0.036,0.036,0.6878
